Wavelength (nm),Power (W/m2/nm)
474.131,0.0038
474.497,0.0036
474.863,0.0037
475.229,0.0035
475.595,0.0034
475.961,0.0032
476.327,0.0031
476.693,0.0031
477.058,0.0031
477.424,0.0031
477.79,0.003
478.156,0.003
478.521,0.003
478.887,0.003
479.252,0.003
479.618,0.003
479.983,0.003
480.348,0.0028
480.714,0.0028
481.079,0.0027
481.444,0.0027
481.81,0.0027
482.175,0.0028
482.54,0.0027
482.905,0.0027
483.27,0.0025
483.635,0.0025
484,0.0023
484.365,0.0022
484.73,0.0023
485.095,0.0024
485.459,0.0025
485.824,0.0025
486.189,0.0025
486.553,0.0024
486.918,0.0024
487.283,0.0023
487.647,0.0023
488.012,0.0024
488.376,0.0023
488.74,0.0024
489.105,0.0023
489.469,0.0024
489.833,0.0023
490.198,0.0023
490.562,0.0025
490.926,0.0026
491.29,0.0025
491.654,0.0025
492.018,0.0026
492.382,0.0025
492.746,0.0026
493.11,0.0027
493.474,0.0029
493.837,0.0029
494.201,0.0031
494.565,0.0031
494.928,0.0031
495.292,0.0031
495.656,0.0032
496.019,0.0031
496.383,0.0031
496.746,0.0032
497.109,0.0032
497.473,0.0033
497.836,0.0034
498.199,0.0035
498.563,0.0035
498.926,0.0037
499.289,0.0038
499.652,0.0039
500.015,0.004
500.378,0.0041
500.741,0.004
501.104,0.004
501.467,0.0041
501.829,0.0041
502.192,0.0042
502.555,0.0043
502.918,0.0043
503.28,0.0044
503.643,0.0045
504.005,0.0045
504.368,0.0046
504.73,0.0047
505.093,0.0048
505.455,0.005
505.817,0.0051
506.18,0.0051
506.542,0.0051
506.904,0.0051
507.266,0.0051
507.628,0.0053
507.991,0.0052
508.353,0.0054
508.715,0.0055
509.076,0.0056
509.438,0.0056
509.8,0.0058
510.162,0.0058
510.524,0.0058
510.885,0.0058
511.247,0.006
511.609,0.0062
511.97,0.0063
512.332,0.0064
512.693,0.0064
513.055,0.0064
513.416,0.0064
513.778,0.0065
514.139,0.0066
514.5,0.0067
514.861,0.0068
515.223,0.0069
515.584,0.007
515.945,0.007
516.306,0.0071
516.667,0.0072
517.028,0.0073
517.389,0.0074
517.75,0.0074
518.11,0.0075
518.471,0.0076
518.832,0.0075
519.193,0.0077
519.553,0.0078
519.914,0.0078
520.274,0.0077
520.635,0.0077
520.995,0.0076
521.356,0.0077
521.716,0.0078
522.076,0.0079
522.437,0.0079
522.797,0.0078
523.157,0.0079
523.517,0.008
523.877,0.008
