Wavelength (nm),Power (W/m2/nm)
474.863,0.0017
475.229,0.0017
475.595,0.0017
475.961,0.0016
476.327,0.0017
476.693,0.0016
477.058,0.0018
477.424,0.0018
477.79,0.002
478.156,0.0021
478.521,0.0022
478.887,0.0021
479.252,0.0022
479.618,0.0022
479.983,0.0022
480.348,0.0022
480.714,0.0024
481.079,0.0025
481.444,0.0027
481.81,0.003
482.175,0.0034
482.54,0.0036
482.905,0.0039
483.27,0.0043
483.635,0.0047
484,0.0052
484.365,0.0058
484.73,0.0064
485.095,0.0069
485.459,0.0074
485.824,0.0078
486.189,0.0081
486.553,0.0082
486.918,0.008
487.283,0.0078
487.647,0.0076
488.012,0.0072
488.376,0.0069
488.74,0.0066
489.105,0.0062
489.469,0.006
489.833,0.0058
490.198,0.0056
490.562,0.0054
490.926,0.0054
491.29,0.0052
491.654,0.0049
492.018,0.0048
492.382,0.0046
492.746,0.0044
493.11,0.0043
493.474,0.0043
493.837,0.0041
494.201,0.004
494.565,0.0039
494.928,0.0036
495.292,0.0035
495.656,0.0034
496.019,0.0031
496.383,0.003
496.746,0.0029
497.109,0.0027
497.473,0.0026
497.836,0.0025
498.199,0.0024
498.563,0.0023
498.926,0.0022
499.289,0.0022
499.652,0.0021
500.015,0.0019
500.378,0.0018
500.741,0.0018
501.104,0.0016
501.467,0.0016
501.829,0.0015
502.192,0.0015
502.555,0.0015
502.918,0.0014
503.28,0.0013
503.643,0.0012
504.005,0.0013
504.368,0.0012
504.73,0.0012
505.093,0.0012
505.455,0.0011
505.817,0.0011
506.18,0.001
506.542,0.0009
506.904,0.0009
507.266,0.0009
507.628,0.0009
507.991,0.0009
508.353,0.001
508.715,0.001
509.076,0.0011
509.438,0.0011
509.8,0.0011
510.162,0.001
510.524,0.0009
510.885,0.0009
511.247,0.0009
511.609,0.0008
511.97,0.0008
512.332,0.0009
512.693,0.0009
513.055,0.0009
513.416,0.0009
513.778,0.001
514.139,0.001
514.5,0.0009
514.861,0.001
515.223,0.001
515.584,0.001
515.945,0.0009
516.306,0.001
516.667,0.001
517.028,0.001
517.389,0.0009
517.75,0.0009
518.11,0.001
518.471,0.001
518.832,0.001
519.193,0.0011
519.553,0.0011
519.914,0.001
520.274,0.0009
520.635,0.0008
520.995,0.0008
521.356,0.0008
521.716,0.0007
522.076,0.0008
522.437,0.0008
522.797,0.0008
523.157,0.0008
523.517,0.0008
523.877,0.0007
524.238,0.0008
524.598,0.0009
524.958,0.0009
525.317,0.0009
525.677,0.001
526.037,0.001
526.397,0.0009
526.757,0.0009
527.116,0.0008
527.476,0.0009
527.836,0.0008
528.195,0.0008
528.555,0.0008
528.914,0.0008
529.274,0.0009
529.633,0.0009
529.993,0.001
530.352,0.0011
530.711,0.0011
531.07,0.0011
531.429,0.0012
531.789,0.0014
532.148,0.0015
532.507,0.0015
532.866,0.0017
533.225,0.0016
533.584,0.0016
533.942,0.0016
534.301,0.0017
534.66,0.0017
535.019,0.0019
535.377,0.0021
535.736,0.0024
536.095,0.0028
536.453,0.0033
536.812,0.0038
537.17,0.0044
537.528,0.0049
537.887,0.0055
538.245,0.0063
538.603,0.0072
538.962,0.0086
539.32,0.0107
539.678,0.0138
540.036,0.0179
540.394,0.0226
540.752,0.0268
541.11,0.0297
541.468,0.031
541.826,0.0305
542.184,0.0288
542.541,0.0271
542.899,0.0258
543.257,0.025
543.614,0.0248
543.972,0.0256
544.33,0.03
544.687,0.0363
545.045,0.0427
545.402,0.046
545.759,0.0466
546.117,0.0426
546.474,0.0358
546.831,0.0283
547.188,0.0235
547.546,0.0202
547.903,0.0176
548.26,0.0159
548.617,0.0145
548.974,0.0132
549.331,0.0119
549.687,0.0108
550.044,0.0098
550.401,0.0089
550.758,0.0082
551.114,0.0075
551.471,0.0069
551.828,0.0062
552.184,0.0056
552.541,0.0051
552.897,0.0048
553.254,0.0043
553.61,0.004
553.966,0.0038
554.323,0.0035
554.679,0.0033
555.035,0.0031
555.391,0.0029
555.747,0.0027
556.103,0.0025
556.459,0.0025
556.815,0.0024
557.171,0.0022
557.527,0.0021
557.883,0.0021
558.239,0.002
558.594,0.002
558.95,0.0019
559.306,0.0019
559.661,0.0018
560.017,0.0017
560.372,0.0016
560.728,0.0016
561.083,0.0016
561.438,0.0016
561.794,0.0017
562.149,0.0018
562.504,0.0018
562.859,0.0018
563.215,0.0017
563.57,0.0017
563.925,0.0016
564.28,0.0016
564.635,0.0016
564.99,0.0017
565.344,0.0018
565.699,0.0018
566.054,0.0019
566.409,0.0019
566.763,0.0018
567.118,0.0018
567.473,0.0017
567.827,0.0017
568.182,0.0017
568.536,0.0017
568.891,0.0018
569.245,0.0017
569.599,0.0017
569.953,0.0017
570.308,0.0017
570.662,0.0016
571.016,0.0017
571.37,0.0016
571.724,0.0017
572.078,0.0017
572.432,0.0018
572.786,0.0017
573.14,0.0018
573.494,0.0018
573.847,0.0018
574.201,0.0019
574.555,0.0019
574.908,0.0022
575.262,0.0029
575.615,0.0039
575.969,0.0049
576.322,0.0054
576.676,0.0057
577.029,0.0055
577.382,0.0053
577.736,0.0055
578.089,0.0059
578.442,0.0063
578.795,0.0065
579.148,0.0064
579.501,0.0061
579.854,0.0058
580.207,0.0056
580.56,0.0055
580.913,0.0055
581.265,0.0057
581.618,0.0061
581.971,0.0065
582.324,0.007
582.676,0.0073
583.029,0.0076
583.381,0.0076
583.734,0.0074
584.086,0.0073
584.438,0.0071
584.791,0.0069
585.143,0.0069
585.495,0.0072
585.847,0.0079
586.2,0.0084
586.552,0.0089
586.904,0.0089
587.256,0.0085
587.608,0.0077
587.959,0.0068
588.311,0.0061
588.663,0.0056
589.015,0.0053
589.367,0.0051
589.718,0.005
590.07,0.005
590.421,0.0051
590.773,0.0052
591.124,0.0056
591.476,0.0061
591.827,0.0067
592.179,0.0071
592.53,0.0074
592.881,0.0072
593.232,0.0068
593.584,0.0061
593.935,0.0055
594.286,0.0049
594.637,0.0044
594.988,0.004
595.339,0.0038
595.689,0.0037
596.04,0.0037
596.391,0.0036
596.742,0.0037
597.092,0.0037
597.443,0.004
597.794,0.0042
598.144,0.0046
598.495,0.0048
598.845,0.0051
599.196,0.005
599.546,0.005
599.896,0.0047
600.247,0.0044
600.597,0.004
600.947,0.0036
601.297,0.0033
601.647,0.0031
601.997,0.0031
602.347,0.003
602.697,0.003
603.047,0.0029
603.397,0.0028
603.747,0.0029
604.096,0.0029
604.446,0.0029
604.796,0.003
605.145,0.0031
605.495,0.0032
605.844,0.0033
606.194,0.0035
606.543,0.0037
606.893,0.004
607.242,0.0044
607.591,0.0049
607.94,0.0057
608.29,0.0069
608.639,0.0088
608.988,0.0121
609.337,0.0183
609.686,0.0273
610.035,0.0373
610.384,0.0456
610.733,0.0508
611.081,0.0514
611.43,0.0477
611.779,0.0417
612.127,0.0358
612.476,0.0306
612.825,0.0268
613.173,0.0236
613.522,0.0211
613.87,0.0188
614.218,0.0171
614.567,0.0153
614.915,0.0135
615.263,0.0116
615.611,0.0101
615.96,0.0087
616.308,0.0076
616.656,0.0067
617.004,0.0062
617.352,0.0058
617.7,0.0055
618.047,0.0053
618.395,0.0052
618.743,0.0051
619.091,0.0052
619.438,0.0053
619.786,0.0054
620.134,0.0054
620.481,0.0053
620.829,0.0054
621.176,0.0053
621.523,0.0054
621.871,0.0056
622.218,0.0057
622.565,0.0058
622.912,0.0059
623.259,0.0059
623.607,0.006
623.954,0.0061
624.301,0.0061
624.648,0.0061
624.994,0.0063
625.341,0.0063
625.688,0.0063
626.035,0.0061
626.382,0.0061
626.728,0.0059
627.075,0.0058
627.421,0.0056
627.768,0.0055
628.114,0.0055
628.461,0.0054
628.807,0.0056
629.154,0.006
629.5,0.0068
629.846,0.0075
630.192,0.008
630.538,0.008
630.884,0.0076
631.231,0.0068
631.577,0.0057
631.922,0.0047
632.268,0.0038
632.614,0.0032
632.96,0.0027
633.306,0.0024
633.651,0.0021
633.997,0.0019
634.343,0.0017
634.688,0.0016
635.034,0.0015
635.379,0.0015
635.725,0.0014
636.07,0.0014
636.415,0.0015
636.761,0.0014
637.106,0.0013
637.451,0.0014
637.796,0.0014
638.141,0.0014
638.486,0.0013
638.831,0.0012
639.176,0.0012
639.521,0.0012
639.866,0.001
640.211,0.0011
640.555,0.0011
640.9,0.0011
641.245,0.001
641.589,0.0012
641.934,0.0011
642.278,0.0011
642.623,0.0009
642.967,0.0011
643.312,0.0011
643.656,0.0012
644,0.0014
644.344,0.0015
644.689,0.0013
645.033,0.0013
645.377,0.0013
645.721,0.0012
646.065,0.0013
646.409,0.0013
646.753,0.0013
647.096,0.0012
647.44,0.0013
647.784,0.0013
648.128,0.0014
648.471,0.0016
648.815,0.0018
649.158,0.0021
649.502,0.0023
649.845,0.0024
650.189,0.0025
650.532,0.0025
650.875,0.0023
651.218,0.0019
651.562,0.0019
651.905,0.0018
652.248,0.0018
652.591,0.0018
652.934,0.0019
653.277,0.0018
653.62,0.0016
653.963,0.0015
654.305,0.0014
654.648,0.0013
654.991,0.0013
655.334,0.0014
655.676,0.0013
656.019,0.0014
656.361,0.0014
656.704,0.0014
657.046,0.0014
657.389,0.0014
657.731,0.0013
658.073,0.0012
658.415,0.0011
658.757,0.001
659.1,0.001
659.442,0.0009
659.784,0.0009
660.126,0.001
660.468,0.0011
660.809,0.0013
661.151,0.0015
661.493,0.0017
661.835,0.0018
662.177,0.0018
662.518,0.0017
662.86,0.0016
663.201,0.0015
663.543,0.0014
663.884,0.0013
664.226,0.0012
664.567,0.0012
664.908,0.0011
665.249,0.001
665.591,0.001
665.932,0.001
666.273,0.001
666.614,0.0011
666.955,0.0013
667.296,0.0012
667.637,0.0012
667.978,0.0012
668.318,0.0009
668.659,0.0008
669,0.0008
669.341,0.0008
669.681,0.0009
670.022,0.0009
670.362,0.0008
670.703,0.0007
671.043,0.0007
671.383,0.0006
671.724,0.0007
672.064,0.0006
672.404,0.0006
672.744,0.0006
673.085,0.0005
673.425,0.0004
673.765,0.0005
674.105,0.0006
674.444,0.0006
674.784,0.0006
675.124,0.0006
675.464,0.0006
675.804,0.0007
676.143,0.0006
676.483,0.0007
676.823,0.0008
677.162,0.0007
677.501,0.0007
677.841,0.0007
678.18,0.0008
678.52,0.0009
678.859,0.0009
679.198,0.0009
679.537,0.0009
679.876,0.0008
680.215,0.0009
680.555,0.0011
680.894,0.001
681.232,0.0011
681.571,0.001
681.91,0.0009
682.249,0.0008
682.588,0.0007
682.926,0.0007
683.265,0.0005
683.604,0.0007
683.942,0.0006
684.281,0.0006
684.619,0.0007
684.957,0.0008
685.296,0.0008
685.634,0.001
685.972,0.0012
686.31,0.0012
686.649,0.0014
686.987,0.0015
687.325,0.0016
687.663,0.0016
688.001,0.0015
688.338,0.0012
688.676,0.0011
689.014,0.0008
689.352,0.0006
689.69,0.0006
690.027,0.0004
690.365,0.0003
690.702,0.0004
691.04,0.0004
691.377,0.0005
691.715,0.0007
692.052,0.0009
692.389,0.0011
692.726,0.0012
693.064,0.0011
693.401,0.0012
693.738,0.0012
694.075,0.0011
694.412,0.0009
694.749,0.0009
695.086,0.0007
695.423,0.0005
695.759,0.0004
696.096,0.0003
696.433,0.0002
696.769,0.0001
697.106,0.0001
697.443,0
697.779,0.0001
698.116,0.0002
698.452,0.0002
698.788,0.0002
699.125,0.0003
699.461,0.0003
699.797,0.0003
700.133,0.0001
700.469,0.0002
700.805,0.0001
701.141,0
701.477,0
701.813,0.0001
702.149,0.0001
702.485,0.0003
702.82,0.0004
703.156,0.0005
703.492,0.0005
703.827,0.0006
704.163,0.0006
704.498,0.0009
704.834,0.0012
705.169,0.0018
705.505,0.0022
705.84,0.0026
706.175,0.0029
706.51,0.0031
706.845,0.0032
707.18,0.0033
707.515,0.0034
707.85,0.0035
708.185,0.0037
708.52,0.0036
708.855,0.0033
709.19,0.0028
709.525,0.0025
709.859,0.002
710.194,0.0018
710.529,0.002
710.863,0.0023
711.198,0.0026
711.532,0.0027
711.866,0.0026
712.201,0.0025
712.535,0.002
712.869,0.0016
713.203,0.0014
713.537,0.0012
713.872,0.001
714.206,0.0007
714.54,0.0006
714.873,0.0003
715.207,0.0003
715.541,0.0001
715.875,0.0001
716.209,0.0002
716.542,0.0001
716.876,0
717.21,0
717.543,0.0003
717.877,0.0002
718.21,0.0003
718.543,0.0003
718.877,0.0002
719.21,-0.0001
719.543,-0.0001
719.876,-0.0001
720.209,0
720.542,0
720.875,0
721.208,0
721.541,0.0002
721.874,0.0001
722.207,0.0002
722.54,0
722.872,-0.0001
723.205,-0.0002
723.538,0.0001
723.87,-0.0001
724.203,0.0003
724.535,0.0005
724.868,0.0003
725.2,0.0002
725.532,0.0006
725.865,0.0003
726.197,0.0002
726.529,0.0004
726.861,0.0004
727.193,0.0002
727.525,0.0004
727.857,0.0003
728.189,0.0002
728.521,0.0002
728.853,0.0002
729.184,0.0001
729.516,0.0002
729.848,0.0002
730.179,0.0002
730.511,0.0001
730.842,0.0001
731.174,-0.0001
731.505,-0.0001
731.836,-0.0001
732.168,-0.0001
732.499,0
732.83,-0.0003
733.161,-0.0003
733.492,-0.0002
733.823,-0.0001
734.154,-0.0004
734.485,-0.0001
734.816,-0.0001
735.147,0.0001
735.478,-0.0001
735.808,0.0002
736.139,0.0003
736.47,0.0005
736.8,0.0002
737.131,0.0004
737.461,0.0004
737.792,0.0002
738.122,0
738.452,0
738.782,0
739.113,0
739.443,0.0003
739.773,0.0003
740.103,0.0003
740.433,0.0004
740.763,0.0005
741.093,0.0005
741.423,0.0006
741.752,0.0005
742.082,0.0003
742.412,0.0001
742.742,-0.0004
743.071,-0.0004
743.401,0
743.73,-0.0001
744.06,0.0002
744.389,0.0004
744.718,0.0003
745.048,0
745.377,0.0002
745.706,0.0002
746.035,0.0002
746.364,0.0002
746.693,0.0001
747.022,-0.0001
747.351,0
747.68,0.0001
748.009,0
748.338,0.0004
748.666,0.0005
748.995,0.0004
749.323,0
749.652,0.0002
749.981,-0.0001
750.309,-0.0003
750.637,-0.0004
750.966,-0.0002
751.294,-0.0002
751.622,-0.0003
751.95,0
752.279,0.0001
752.607,0.0001
752.935,0
753.263,-0.0001
753.591,-0.0002
753.919,-0.0003
754.246,-0.0003
754.574,-0.0001
754.902,-0.0001
755.23,-0.0002
755.557,-0.0001
755.885,-0.0004
756.212,-0.0003
756.54,-0.0001
756.867,0.0001
757.195,0.0001
757.522,0.0003
757.849,0.0004
758.176,0.0006
758.503,0.0008
758.831,0.0014
759.158,0.0017
759.485,0.0017
759.812,0.002
760.138,0.0019
760.465,0.0016
760.792,0.0013
761.119,0.0009
761.446,0.0006
761.772,0.0004
762.099,0.0003
762.425,0.0001
762.752,0.0001
763.078,-0.0003
763.405,-0.0002
763.731,-0.0005
764.057,-0.0003
764.383,0
764.71,0.0001
765.036,0.0001
765.362,0.0002
765.688,0.0002
766.014,0.0001
766.34,0.0002
766.665,0.0001
766.991,0
767.317,0
767.643,0.0002
767.968,0.0005
768.294,0.0005
768.619,0.0009
768.945,0.0008
769.27,0.0005
769.596,0.0003
769.921,0.0003
770.246,0
770.572,0
770.897,0.0002
771.222,0.0002
771.547,0.0002
771.872,0.0001
772.197,0.0002
772.522,0.0003
772.847,0.0003
773.171,0.0004
773.496,0.0006
773.821,0.0006
774.146,0.0001
774.47,0
774.795,-0.0001
775.119,-0.0004
775.444,-0.0003
775.768,-0.0003
776.092,-0.0002
776.417,-0.0001
776.741,-0.0003
777.065,-0.0004
777.389,0.0002
777.713,0.0004
778.037,0.0003
778.361,0.0006
778.685,0.0005
779.009,0.0001
779.333,-0.0002
779.657,-0.0002
779.98,-0.0001
780.304,-0.0002
780.627,-0.0002
780.951,-0.0001
781.274,0
781.598,-0.0001
781.921,-0.0004
782.245,-0.0004
782.568,-0.0002
782.891,-0.0001
783.214,0.0001
783.537,0.0004
783.861,0.0006
784.184,0.0003
784.506,0.0003
784.829,0.0005
785.152,0.0009
785.475,0.0006
785.798,0.0008
786.12,0.0007
786.443,0.0006
786.766,0.0003
787.088,0.0005
787.411,0.0003
787.733,0.0002
788.056,0.0001
788.378,0.0001
788.7,-0.0004
789.022,-0.0006
789.345,-0.0006
789.667,-0.0011
789.989,-0.0011
790.311,-0.0007
790.633,-0.0005
790.955,-0.0005
791.276,-0.0002
791.598,-0.0005
791.92,-0.0002
792.242,-0.0003
792.563,-0.0001
792.885,-0.0004
793.206,-0.0002
793.528,-0.0007
793.849,-0.0006
794.171,-0.0003
794.492,0.0002
794.813,0.0004
795.134,0.0002
795.456,-0.0002
795.777,-0.0007
796.098,-0.0011
796.419,-0.0013
796.74,-0.0008
797.061,-0.0001
797.381,-0.0001
797.702,0.0003
798.023,0.0002
798.344,-0.0001
798.664,-0.0004
798.985,-0.0001
799.305,-0.0002
799.626,-0.0001
799.946,-0.0002
800.267,-0.0003
800.587,-0.0006
800.907,-0.0007
801.227,-0.0012
801.548,-0.0006
801.868,-0.0006
802.188,-0.0005
802.508,-0.0007
802.828,0.0001
803.147,-0.0002
803.467,0.0002
803.787,0.0001
804.107,0.0005
804.426,0.0002
804.746,0.0003
805.066,0.0001
805.385,0.0003
805.705,0.0005
806.024,0.0007
806.343,0.0004
806.663,0.0003
806.982,0.0003
807.301,0.0001
807.62,0.0001
807.939,0.0001
808.258,0.0002
808.577,0.0004
808.896,0.0006
809.215,0.0007
809.534,0.0014
809.852,0.0021
810.171,0.0027
810.49,0.0031
810.808,0.0036
811.127,0.0032
811.445,0.0026
811.764,0.0018
812.082,0.0009
812.401,0.0004
812.719,0.0001
813.037,-0.0008
813.355,-0.0008
813.673,-0.0005
813.991,-0.0006
814.309,-0.0007
814.627,0.0002
814.945,0.0004
815.263,0
815.581,0
815.899,0.0003
816.216,0.0002
816.534,0.0003
816.851,0.0006
817.169,0.0005
817.486,0.0005
817.804,0.0006
818.121,0.0007
818.438,0.0008
818.756,0.0012
819.073,0.0012
819.39,0.0007
819.707,0.0004
820.024,0.0001
820.341,-0.0003
820.658,-0.0005
820.975,-0.0003
821.292,0.0001
821.608,0
821.925,0.0003
822.242,0.0003
822.558,0.0001
822.875,-0.0006
823.191,-0.0003
823.508,-0.0006
823.824,-0.0005
824.141,-0.0004
824.457,0.0001
824.773,0.0006
825.089,0.0007
825.405,0.0011
825.721,0.001
826.037,0.0011
826.353,0.0007
826.669,0.0008
826.985,0.0004
827.301,0.0002
827.617,-0.0004
827.932,0
828.248,-0.0001
828.563,0.0007
828.879,0.0012
829.194,0.0019
829.51,0.0017
829.825,0.0016
830.14,0.0006
830.456,0.0002
830.771,-0.0003
831.086,0
831.401,-0.0001
831.716,0.0003
832.031,0.0006
832.346,0.0005
832.661,-0.0001
832.976,0.0002
833.29,-0.0001
833.605,-0.0003
833.92,-0.0004
834.234,-0.0003
834.549,-0.0007
834.863,-0.0008
835.178,-0.0012
835.492,-0.0002
835.806,-0.0001
836.121,0.0001
836.435,0.0003
836.749,0.0003
837.063,0.0001
837.377,0.0001
837.691,-0.0001
838.005,-0.0002
838.319,0.0005
838.633,-0.0001
838.946,0
839.26,0.0004
839.574,0.0003
839.887,0.0005
840.201,0.0007
840.514,0.0008
840.828,0.0004
841.141,0.0006
841.455,0
841.768,0.0012
842.081,0.001
842.394,0.0015
842.707,0.0021
843.02,0.0028
843.333,0.001
843.646,0.0001
843.959,-0.0005
844.272,-0.0014
844.585,-0.001
844.898,-0.0006
845.21,-0.0001
845.523,0.0003
845.835,0.0011
846.148,0.0008
846.46,0.001
846.773,0.0011
847.085,0.0007
847.397,-0.0006
847.71,-0.0006
848.022,-0.0009
848.334,-0.0007
848.646,-0.0003
848.958,0.0005
849.27,0
849.582,0.0009
849.894,0.0007
850.205,0.0005
850.517,-0.0001
850.829,0.0002
851.141,-0.0005
851.452,-0.0001
851.764,-0.0004
852.075,0.0004
852.386,-0.0004
852.698,-0.0002
853.009,-0.0003
853.32,0.0003
853.632,-0.0001
853.943,-0.0003
854.254,-0.0002
854.565,-0.0004
854.876,-0.0006
855.187,0
855.497,0.0006
855.808,0.0009
856.119,0.001
856.43,0.0009
856.74,0.0007
857.051,0.0005
857.361,0.0003
857.672,0.0005
857.982,-0.0001
858.293,0.0002
858.603,0.0006
858.913,0.0003
859.223,-0.0002
859.533,0.001
859.844,0
860.154,0.0002
860.464,0.0003
860.773,0.0003
861.083,-0.0002
861.393,-0.0002
861.703,-0.001
862.013,-0.001
862.322,-0.0012
862.632,-0.0012
862.941,-0.0012
863.251,-0.0004
863.56,-0.0008
863.869,-0.001
864.179,-0.0012
864.488,-0.0007
864.797,-0.001
865.106,-0.0005
865.415,0.0007
865.724,0.001
866.033,0.0018
866.342,0.0021
866.651,0.0018
866.96,0.0007
867.269,0.0006
867.577,0.0004
867.886,-0.0003
868.195,-0.0009
868.503,0.0001
868.812,0.0004
869.12,-0.0001
869.428,0.0007
869.737,0.0015
870.045,0.0004
870.353,0
870.661,0.0009
870.969,0.0006
871.277,0.0015
871.585,0.002
871.893,0.0023
872.201,0.0014
872.509,0.0012
872.817,-0.0004
873.124,-0.0003
873.432,-0.0003
873.739,-0.0011
874.047,-0.0011
874.354,0.0001
874.662,0.0011
874.969,0.0012
875.276,0.0014
875.584,0.0013
875.891,0.0009
876.198,0.0001
876.505,0.0005
876.812,0.0015
877.119,0.0015
877.426,0.001
877.733,0.0017
878.04,0.0008
878.346,-0.0007
878.653,-0.0003
878.96,0.0002
879.266,-0.0001
879.573,0.0008
