Wavelength (nm),BB_Power (W/m2/nm)
474.497,0.0626
474.863,0.063
475.229,0.0632
475.595,0.0634
475.961,0.0636
476.327,0.0635
476.693,0.0636
477.058,0.0641
477.424,0.0644
477.79,0.0648
478.156,0.0653
478.521,0.0658
478.887,0.066
479.252,0.0663
479.618,0.0665
479.983,0.0669
480.348,0.067
480.714,0.0673
481.079,0.0675
481.444,0.0677
481.81,0.0681
482.175,0.0685
482.54,0.0686
482.905,0.0688
483.27,0.0691
483.635,0.0693
484,0.0693
484.365,0.0696
484.73,0.0698
485.095,0.0701
485.459,0.0705
485.824,0.0706
486.189,0.0707
486.553,0.0711
486.918,0.0712
487.283,0.0718
487.647,0.072
488.012,0.0726
488.376,0.0728
488.74,0.0732
489.105,0.0731
489.469,0.0737
489.833,0.0739
490.198,0.0741
490.562,0.0746
490.926,0.075
491.29,0.075
491.654,0.075
492.018,0.0752
492.382,0.0753
492.746,0.0754
493.11,0.0757
493.474,0.0759
493.837,0.0761
494.201,0.0764
494.565,0.0765
494.928,0.0765
495.292,0.0767
495.656,0.0771
496.019,0.077
496.383,0.0772
496.746,0.0776
497.109,0.0779
497.473,0.078
497.836,0.0783
498.199,0.0784
498.563,0.0785
498.926,0.0785
499.289,0.0787
499.652,0.0787
500.015,0.0787
500.378,0.0787
500.741,0.079
501.104,0.0792
501.467,0.0794
501.829,0.0797
502.192,0.0801
502.555,0.0802
502.918,0.0802
503.28,0.0803
503.643,0.0803
504.005,0.0804
504.368,0.0807
504.73,0.0808
505.093,0.081
505.455,0.0813
505.817,0.0815
506.18,0.0816
506.542,0.082
506.904,0.0821
507.266,0.0826
507.628,0.0828
507.991,0.0829
508.353,0.083
508.715,0.0832
509.076,0.0834
509.438,0.0836
509.8,0.0839
510.162,0.084
510.524,0.0842
510.885,0.0842
511.247,0.0844
511.609,0.0847
511.97,0.085
512.332,0.0854
512.693,0.0857
513.055,0.086
513.416,0.086
513.778,0.0864
514.139,0.0867
514.5,0.0871
514.861,0.0873
515.223,0.0876
515.584,0.0878
515.945,0.0881
516.306,0.0886
516.667,0.0891
517.028,0.0896
517.389,0.0901
517.75,0.0904
518.11,0.0905
518.471,0.091
518.832,0.0913
519.193,0.0916
519.553,0.092
519.914,0.0924
520.274,0.0924
520.635,0.0925
520.995,0.0926
521.356,0.0929
521.716,0.0934
522.076,0.0939
522.437,0.0945
522.797,0.0947
523.157,0.095
523.517,0.0952
523.877,0.0957
524.238,0.0961
524.598,0.0966
524.958,0.0969
525.317,0.0974
525.677,0.0977
526.037,0.0979
526.397,0.0983
526.757,0.0989
527.116,0.0991
527.476,0.0994
527.836,0.0997
528.195,0.1002
528.555,0.1001
528.914,0.1007
529.274,0.101
529.633,0.1015
529.993,0.1018
530.352,0.1023
530.711,0.1027
531.07,0.103
531.429,0.1034
531.789,0.1035
532.148,0.1038
532.507,0.104
532.866,0.1042
533.225,0.1045
533.584,0.1049
533.942,0.1053
534.301,0.1055
534.66,0.1061
535.019,0.1064
535.377,0.1068
535.736,0.1071
536.095,0.1072
536.453,0.1074
536.812,0.1079
537.17,0.1079
537.528,0.1079
537.887,0.1084
538.245,0.1084
538.603,0.1084
538.962,0.1085
539.32,0.1088
539.678,0.109
540.036,0.1093
540.394,0.1097
540.752,0.1102
541.11,0.1103
541.468,0.1103
541.826,0.1104
542.184,0.1105
542.541,0.1107
542.899,0.1111
543.257,0.1114
543.614,0.1118
543.972,0.112
544.33,0.112
544.687,0.1119
545.045,0.1122
545.402,0.1122
545.759,0.1125
546.117,0.1127
546.474,0.1135
546.831,0.1138
547.188,0.1141
547.546,0.1142
547.903,0.1142
548.26,0.1144
548.617,0.1147
548.974,0.1148
549.331,0.115
549.687,0.1153
550.044,0.1156
550.401,0.1157
550.758,0.1159
551.114,0.1161
551.471,0.1166
551.828,0.1166
552.184,0.1168
552.541,0.1169
552.897,0.1172
553.254,0.1173
553.61,0.1175
553.966,0.118
554.323,0.1183
554.679,0.1186
555.035,0.119
555.391,0.1193
555.747,0.1195
556.103,0.12
556.459,0.1206
556.815,0.121
557.171,0.1212
557.527,0.1216
557.883,0.1215
558.239,0.1214
558.594,0.1219
558.95,0.1224
559.306,0.1228
559.661,0.1233
560.017,0.1237
560.372,0.1237
560.728,0.1239
561.083,0.1242
561.438,0.1245
561.794,0.1246
562.149,0.1249
562.504,0.1253
562.859,0.1254
563.215,0.126
563.57,0.1265
563.925,0.1273
564.28,0.1277
564.635,0.1282
564.99,0.1287
565.344,0.1294
565.699,0.1296
566.054,0.1299
566.409,0.13
566.763,0.1303
567.118,0.1306
567.473,0.1309
567.827,0.1313
568.182,0.132
568.536,0.1322
568.891,0.1325
569.245,0.1328
569.599,0.1333
569.953,0.1334
570.308,0.1339
570.662,0.1342
571.016,0.1349
571.37,0.1352
571.724,0.1356
572.078,0.136
572.432,0.1363
572.786,0.1364
573.14,0.1367
573.494,0.1373
573.847,0.1376
574.201,0.1379
574.555,0.1384
574.908,0.1386
575.262,0.1387
575.615,0.1391
575.969,0.1395
576.322,0.14
576.676,0.1403
577.029,0.1407
577.382,0.1409
577.736,0.141
578.089,0.1413
578.442,0.1416
578.795,0.1419
579.148,0.1421
579.501,0.1422
579.854,0.1425
580.207,0.1428
580.56,0.1431
580.913,0.1435
581.265,0.144
581.618,0.1444
581.971,0.1446
582.324,0.1446
582.676,0.1448
583.029,0.145
583.381,0.1451
583.734,0.1451
584.086,0.1453
584.438,0.1453
584.791,0.1455
585.143,0.1458
585.495,0.1461
585.847,0.1465
586.2,0.1468
586.552,0.1469
586.904,0.1471
587.256,0.1473
587.608,0.1472
587.959,0.1474
588.311,0.1475
588.663,0.1476
589.015,0.148
589.367,0.1484
589.718,0.1488
590.07,0.1491
590.421,0.1493
590.773,0.1495
591.124,0.1497
591.476,0.1497
591.827,0.1498
592.179,0.1502
592.53,0.1503
592.881,0.1504
593.232,0.1504
593.584,0.1505
593.935,0.1502
594.286,0.1501
594.637,0.1502
594.988,0.1506
595.339,0.151
595.689,0.1516
596.04,0.1518
596.391,0.1518
596.742,0.152
597.092,0.1524
597.443,0.1526
597.794,0.1526
598.144,0.1529
598.495,0.1534
598.845,0.1536
599.196,0.1534
599.546,0.1536
599.896,0.1541
600.247,0.1541
600.597,0.1545
600.947,0.1549
601.297,0.1554
601.647,0.1557
601.997,0.1557
602.347,0.1554
602.697,0.1553
603.047,0.1556
603.397,0.156
603.747,0.1564
604.096,0.1569
604.446,0.1577
604.796,0.158
605.145,0.1582
605.495,0.1584
605.844,0.1586
606.194,0.1587
606.543,0.1591
606.893,0.1593
607.242,0.1593
607.591,0.1596
607.94,0.1601
608.29,0.1599
608.639,0.1603
608.988,0.1609
609.337,0.1614
609.686,0.1616
610.035,0.1621
610.384,0.1621
610.733,0.1626
611.081,0.1628
611.43,0.1628
611.779,0.1633
612.127,0.1639
612.476,0.1638
612.825,0.1643
613.173,0.1646
613.522,0.1648
613.87,0.1647
614.218,0.1652
614.567,0.1654
614.915,0.1659
615.263,0.166
615.611,0.1667
615.96,0.1669
616.308,0.1675
616.656,0.1677
617.004,0.1682
617.352,0.1684
617.7,0.1687
618.047,0.169
618.395,0.1694
618.743,0.17
619.091,0.1704
619.438,0.1703
619.786,0.1701
620.134,0.1704
620.481,0.1704
620.829,0.1708
621.176,0.1712
621.523,0.1715
621.871,0.1717
622.218,0.1721
622.565,0.1726
622.912,0.1726
623.259,0.1733
623.607,0.1738
623.954,0.1739
624.301,0.1739
624.648,0.1744
624.994,0.1741
625.341,0.1743
625.688,0.1745
626.035,0.1752
626.382,0.1755
626.728,0.1757
627.075,0.1761
627.421,0.1763
627.768,0.1763
628.114,0.1765
628.461,0.1769
628.807,0.177
629.154,0.1774
629.5,0.1773
629.846,0.1771
630.192,0.177
630.538,0.1776
630.884,0.1778
631.231,0.1781
631.577,0.1786
631.922,0.1791
632.268,0.1789
632.614,0.1792
632.96,0.1792
633.306,0.1795
633.651,0.1795
633.997,0.1797
634.343,0.1795
634.688,0.1798
635.034,0.1799
635.379,0.1801
635.725,0.1801
636.07,0.1807
636.415,0.1812
636.761,0.1812
637.106,0.1812
637.451,0.1817
637.796,0.1815
638.141,0.1814
638.486,0.1817
638.831,0.1821
639.176,0.182
639.521,0.1823
639.866,0.1822
640.211,0.1823
640.555,0.1822
640.9,0.1824
641.245,0.1824
641.589,0.1827
641.934,0.1824
642.278,0.1823
642.623,0.182
642.967,0.1817
643.312,0.1817
643.656,0.1819
644,0.1822
644.344,0.1825
644.689,0.1828
645.033,0.1827
645.377,0.1836
645.721,0.1834
646.065,0.184
646.409,0.1844
646.753,0.1845
647.096,0.184
647.44,0.1844
647.784,0.1841
648.128,0.184
648.471,0.1839
648.815,0.1839
649.158,0.1841
649.502,0.1844
649.845,0.1843
650.189,0.1847
650.532,0.1851
650.875,0.1855
651.218,0.1851
651.562,0.1854
651.905,0.1858
652.248,0.186
652.591,0.1859
652.934,0.186
653.277,0.1864
653.62,0.1864
653.963,0.1865
654.305,0.1866
654.648,0.1866
654.991,0.1867
655.334,0.1866
655.676,0.1866
656.019,0.1868
656.361,0.187
656.704,0.1873
657.046,0.1877
657.389,0.1878
657.731,0.1884
658.073,0.1888
658.415,0.1887
658.757,0.1891
659.1,0.189
659.442,0.189
659.784,0.1894
660.126,0.1898
660.468,0.1898
660.809,0.1901
661.151,0.1902
661.493,0.1902
661.835,0.1904
662.177,0.1903
662.518,0.1904
662.86,0.1907
663.201,0.1906
663.543,0.1908
663.884,0.1913
664.226,0.1915
664.567,0.1916
664.908,0.1918
665.249,0.1919
665.591,0.1919
665.932,0.1924
666.273,0.1926
666.614,0.193
666.955,0.1934
667.296,0.1935
667.637,0.1935
667.978,0.1941
668.318,0.1939
668.659,0.194
669,0.194
669.341,0.1943
669.681,0.1946
670.022,0.1947
670.362,0.1948
670.703,0.1952
671.043,0.1954
671.383,0.195
671.724,0.1951
672.064,0.1955
672.404,0.196
672.744,0.1963
673.085,0.197
673.425,0.1974
673.765,0.1979
674.105,0.1982
674.444,0.1981
674.784,0.1983
675.124,0.1982
675.464,0.1981
675.804,0.1981
676.143,0.1979
676.483,0.198
676.823,0.1983
677.162,0.1986
677.501,0.199
677.841,0.1997
678.18,0.2
678.52,0.2005
678.859,0.2006
679.198,0.2007
679.537,0.201
679.876,0.2009
680.215,0.2008
680.555,0.2008
680.894,0.2012
681.232,0.2017
681.571,0.2021
681.91,0.2028
682.249,0.2033
682.588,0.2033
682.926,0.2035
683.265,0.2039
683.604,0.2039
683.942,0.2037
684.281,0.204
684.619,0.204
684.957,0.2045
685.296,0.2045
685.634,0.2054
685.972,0.2051
686.31,0.2049
686.649,0.2043
686.987,0.2039
687.325,0.2037
687.663,0.2043
688.001,0.2044
688.338,0.2046
688.676,0.2052
689.014,0.2051
689.352,0.2046
689.69,0.205
690.027,0.2054
690.365,0.2057
690.702,0.2057
691.04,0.2062
691.377,0.2066
691.715,0.2065
692.052,0.2061
692.389,0.2062
692.726,0.206
693.064,0.2057
693.401,0.206
693.738,0.2063
694.075,0.2063
694.412,0.2065
694.749,0.2064
695.086,0.2066
695.423,0.2067
695.759,0.2067
696.096,0.207
696.433,0.2068
696.769,0.207
697.106,0.2068
697.443,0.2069
697.779,0.2069
698.116,0.2071
698.452,0.2071
698.788,0.2068
699.125,0.207
699.461,0.2072
699.797,0.2076
700.133,0.2076
700.469,0.2076
700.805,0.207
701.141,0.2074
701.477,0.2069
701.813,0.2071
702.149,0.2073
702.485,0.2078
702.82,0.2071
703.156,0.2072
703.492,0.2073
703.827,0.2072
704.163,0.2069
704.498,0.2074
704.834,0.207
705.169,0.207
705.505,0.207
705.84,0.2071
706.175,0.2068
706.51,0.2072
706.845,0.2072
707.18,0.2075
707.515,0.2077
707.85,0.2079
708.185,0.2078
708.52,0.2078
708.855,0.2074
709.19,0.2072
709.525,0.2074
709.859,0.2072
710.194,0.207
710.529,0.2074
710.863,0.2074
711.198,0.207
711.532,0.2068
711.866,0.2066
712.201,0.2062
712.535,0.2062
712.869,0.2067
713.203,0.2071
713.537,0.2071
713.872,0.2075
714.206,0.2075
714.54,0.2072
714.873,0.207
715.207,0.207
715.541,0.2066
715.875,0.2068
716.209,0.2068
716.542,0.207
716.876,0.2072
717.21,0.2074
717.543,0.208
717.877,0.2079
718.21,0.2082
718.543,0.208
718.877,0.208
719.21,0.2076
719.543,0.2083
719.876,0.2077
720.209,0.2074
720.542,0.2076
720.875,0.2076
721.208,0.2077
721.541,0.2079
721.874,0.2082
722.207,0.2084
722.54,0.2079
722.872,0.2077
723.205,0.2083
723.538,0.2083
723.87,0.2089
724.203,0.2093
724.535,0.209
724.868,0.2084
725.2,0.2084
725.532,0.2083
725.865,0.2079
726.197,0.2077
726.529,0.2081
726.861,0.2085
727.193,0.2088
727.525,0.2095
727.857,0.2098
728.189,0.2097
728.521,0.2098
728.853,0.2098
729.184,0.21
729.516,0.2101
729.848,0.2102
730.179,0.2106
730.511,0.21
730.842,0.2097
731.174,0.2097
731.505,0.21
731.836,0.2091
732.168,0.2095
732.499,0.2097
732.83,0.2099
733.161,0.2108
733.492,0.211
733.823,0.2114
734.154,0.2107
734.485,0.2104
734.816,0.2098
735.147,0.2103
735.478,0.2107
735.808,0.2118
736.139,0.2124
736.47,0.2125
736.8,0.2128
737.131,0.2122
737.461,0.2127
737.792,0.2125
738.122,0.2127
738.452,0.2118
738.782,0.212
739.113,0.2119
739.443,0.2124
739.773,0.2127
740.103,0.213
740.433,0.2133
740.763,0.2137
741.093,0.214
741.423,0.2136
741.752,0.214
742.082,0.2143
742.412,0.214
742.742,0.2136
743.071,0.2139
743.401,0.2141
743.73,0.2138
744.06,0.2138
744.389,0.2136
744.718,0.214
745.048,0.2141
745.377,0.2146
745.706,0.2151
746.035,0.2151
746.364,0.2152
746.693,0.215
747.022,0.2152
747.351,0.2153
747.68,0.2159
748.009,0.216
748.338,0.2164
748.666,0.2166
748.995,0.2165
749.323,0.2163
749.652,0.2168
749.981,0.2168
750.309,0.2167
750.637,0.2167
750.966,0.2167
751.294,0.2167
751.622,0.2168
751.95,0.217
752.279,0.2177
752.607,0.2185
752.935,0.2185
753.263,0.2189
753.591,0.219
753.919,0.2186
754.246,0.2188
754.574,0.2194
754.902,0.2195
755.23,0.2194
755.557,0.2194
755.885,0.2188
756.212,0.2186
756.54,0.2187
756.867,0.2189
757.195,0.2189
757.522,0.2193
757.849,0.2193
758.176,0.2197
758.503,0.2198
758.831,0.2209
759.158,0.2217
759.485,0.2215
759.812,0.2216
760.138,0.2213
760.465,0.221
760.792,0.2212
761.119,0.2212
761.446,0.2216
761.772,0.2222
762.099,0.2217
762.425,0.2206
762.752,0.2209
763.078,0.2203
763.405,0.2208
763.731,0.2208
764.057,0.2222
764.383,0.2228
764.71,0.2235
765.036,0.223
765.362,0.2231
765.688,0.2231
766.014,0.2228
766.34,0.2224
766.665,0.2223
766.991,0.2218
767.317,0.2212
767.643,0.2209
767.968,0.2212
768.294,0.2223
768.619,0.2235
768.945,0.2242
769.27,0.2244
769.596,0.2247
769.921,0.224
770.246,0.2235
770.572,0.2233
770.897,0.2238
771.222,0.2237
771.547,0.2239
771.872,0.2242
772.197,0.2239
772.522,0.2237
772.847,0.2237
773.171,0.2237
773.496,0.2237
773.821,0.2234
774.146,0.2236
774.47,0.2232
774.795,0.2233
775.119,0.2227
775.444,0.2232
775.768,0.2233
776.092,0.2226
776.417,0.2217
776.741,0.2216
777.065,0.2218
777.389,0.2215
777.713,0.2221
778.037,0.2227
