Wavelength (nm),BB_Power (W/m2/nm)
882.941,0.2376
883.246,0.2371
883.552,0.2398
883.858,0.2402
884.164,0.2404
884.469,0.2409
884.775,0.2429
885.08,0.2415
885.386,0.2432
885.691,0.2445
885.996,0.2451
886.302,0.2434
886.607,0.2438
886.912,0.2429
887.217,0.2435
887.522,0.2428
887.827,0.2433
888.132,0.243
888.437,0.2424
888.742,0.2408
889.046,0.2413
889.351,0.2421
889.656,0.2415
889.96,0.2423
890.265,0.2409
890.569,0.2382
890.874,0.2375
891.178,0.2381
891.483,0.2386
891.787,0.2397
892.091,0.2429
892.395,0.2427
892.699,0.2446
893.003,0.2455
893.307,0.2455
893.611,0.2452
893.915,0.2446
894.219,0.2439
894.523,0.244
894.826,0.244
895.13,0.2411
895.433,0.2426
895.737,0.2431
896.04,0.2401
896.344,0.2412
896.647,0.2424
896.95,0.2429
897.254,0.2416
897.557,0.2438
897.86,0.2438
898.163,0.2451
898.466,0.2438
898.769,0.2461
899.072,0.2457
899.375,0.2473
899.677,0.2467
899.98,0.2487
900.283,0.2473
900.585,0.2471
900.888,0.2449
901.191,0.2447
901.493,0.2429
901.795,0.2446
902.098,0.2466
902.4,0.2478
902.702,0.2485
903.004,0.2475
903.306,0.2475
903.608,0.2433
903.91,0.2414
904.212,0.243
904.514,0.2456
904.816,0.2451
905.118,0.248
905.42,0.2489
905.721,0.2481
906.023,0.2477
906.324,0.2459
906.626,0.2462
906.927,0.2454
907.228,0.2441
907.53,0.2436
907.831,0.2439
908.132,0.2439
908.433,0.245
908.734,0.2452
909.035,0.2451
909.336,0.2476
909.637,0.2473
909.938,0.2465
910.239,0.2471
910.54,0.2475
910.84,0.2464
911.141,0.2449
911.441,0.2451
911.742,0.244
912.042,0.246
912.343,0.2463
912.643,0.248
912.943,0.2495
913.244,0.2523
913.544,0.2511
913.844,0.2474
914.144,0.2475
914.444,0.2469
914.744,0.2477
915.044,0.2478
915.343,0.252
915.643,0.2521
915.943,0.2536
916.243,0.2526
916.542,0.2523
916.842,0.2519
917.141,0.2507
917.441,0.2499
917.74,0.2501
918.039,0.2504
918.338,0.2499
918.638,0.2496
918.937,0.2508
919.236,0.2473
919.535,0.2475
919.834,0.2461
920.133,0.246
920.431,0.2441
920.73,0.2466
921.029,0.2448
921.328,0.2458
921.626,0.2468
921.925,0.2467
922.223,0.2485
922.522,0.249
922.82,0.2489
923.118,0.251
923.417,0.2509
923.715,0.2481
924.013,0.2473
924.311,0.2495
924.609,0.2468
924.907,0.2476
925.205,0.248
925.503,0.249
925.801,0.2463
926.098,0.2471
926.396,0.2462
926.694,0.246
926.991,0.2441
927.289,0.2454
927.586,0.2456
927.884,0.2474
928.181,0.2487
928.478,0.2505
928.775,0.251
929.073,0.2532
929.37,0.2525
929.667,0.2537
929.964,0.2531
930.261,0.2527
930.557,0.2526
930.854,0.2536
931.151,0.2531
931.448,0.2508
931.744,0.2514
932.041,0.2513
932.337,0.2522
932.634,0.2525
932.93,0.2568
933.227,0.2587
933.523,0.2601
933.819,0.2598
934.115,0.2589
934.412,0.2578
934.708,0.2558
935.004,0.2548
935.3,0.2547
935.595,0.2562
935.891,0.2563
936.187,0.2561
936.483,0.2538
936.778,0.2525
937.074,0.253
937.369,0.2533
937.665,0.2541
937.96,0.2587
938.256,0.2586
938.551,0.2607
938.846,0.2639
939.141,0.2639
939.437,0.2594
939.732,0.2611
940.027,0.2577
940.322,0.2527
940.617,0.2562
940.911,0.2577
941.206,0.255
941.501,0.2595
941.796,0.264
942.09,0.2625
942.385,0.2607
942.679,0.2626
942.974,0.2579
943.268,0.256
943.562,0.2545
943.857,0.255
944.151,0.2551
944.445,0.2564
944.739,0.253
945.033,0.2596
945.327,0.2631
945.621,0.2641
945.915,0.265
946.208,0.2693
946.502,0.2604
946.796,0.2595
947.089,0.2604
947.383,0.2557
947.676,0.2543
947.97,0.2602
948.263,0.2582
948.557,0.258
948.85,0.2603
949.143,0.2603
949.436,0.2609
949.729,0.2603
950.022,0.2583
950.315,0.2641
950.608,0.2684
950.901,0.2624
951.194,0.2618
951.487,0.265
951.779,0.261
952.072,0.2558
952.364,0.2591
952.657,0.2607
952.949,0.2624
953.242,0.2626
953.534,0.2642
953.826,0.261
954.118,0.262
954.411,0.2621
954.703,0.2641
954.995,0.2619
955.287,0.2682
955.579,0.2706
955.87,0.2659
956.162,0.2658
956.454,0.2659
956.746,0.2685
957.037,0.2683
957.329,0.27
957.62,0.2685
957.912,0.2696
958.203,0.2673
958.494,0.2677
958.786,0.2647
959.077,0.2687
959.368,0.2714
959.659,0.2692
959.95,0.2661
960.241,0.2685
960.532,0.2673
960.823,0.2709
961.114,0.2702
961.404,0.2704
961.695,0.2699
961.986,0.2643
962.276,0.2609
962.567,0.2642
962.857,0.2646
963.147,0.2768
963.438,0.2785
963.728,0.2767
964.018,0.2794
964.308,0.2768
964.598,0.2693
964.888,0.2715
965.178,0.2657
965.468,0.2604
965.758,0.2672
966.048,0.2697
966.338,0.2714
966.627,0.2809
966.917,0.2781
967.206,0.2676
967.496,0.2629
967.785,0.266
968.075,0.2618
968.364,0.2692
968.653,0.2748
968.942,0.2773
969.232,0.278
969.521,0.2785
969.81,0.275
970.099,0.2753
970.388,0.2714
970.676,0.2692
970.965,0.2713
971.254,0.2712
971.543,0.2795
971.831,0.2792
972.12,0.2772
972.408,0.2852
972.697,0.2895
972.985,0.2909
973.273,0.2922
973.561,0.2936
973.85,0.285
974.138,0.2833
974.426,0.2746
974.714,0.2774
975.002,0.2687
975.29,0.2776
975.577,0.2733
975.865,0.2839
976.153,0.284
976.441,0.2952
976.728,0.2863
977.016,0.2801
977.303,0.2733
977.59,0.271
977.878,0.2618
978.165,0.2657
978.452,0.2749
978.74,0.2702
979.027,0.2678
979.314,0.2799
979.601,0.2824
979.888,0.2839
980.174,0.297
980.461,0.3021
980.748,0.2993
981.035,0.3058
981.321,0.3233
981.608,0.3175
981.894,0.3139
982.181,0.3161
982.467,0.3044
982.754,0.2912
983.04,0.2861
983.326,0.2879
983.612,0.3002
983.898,0.3155
984.184,0.3159
984.47,0.3163
984.756,0.3169
985.042,0.3044
985.328,0.2949
985.614,0.2964
985.899,0.3068
986.185,0.3185
986.47,0.3144
986.756,0.3141
987.041,0.3092
987.327,0.3044
987.612,0.2924
987.897,0.2821
988.182,0.2815
988.468,0.2779
988.753,0.2854
989.038,0.2879
989.323,0.3007
989.607,0.3055
989.892,0.3023
990.177,0.2941
990.462,0.2839
990.746,0.2693
991.031,0.2726
991.315,0.2761
991.6,0.2819
991.884,0.3067
992.169,0.3242
992.453,0.3139
992.737,0.3296
993.021,0.3319
993.305,0.326
993.59,0.3281
993.874,0.3325
994.157,0.329
994.441,0.3299
994.725,0.3131
995.009,0.316
995.293,0.3124
995.576,0.2975
995.86,0.2956
996.143,0.2911
996.427,0.291
996.71,0.2972
996.993,0.3182
997.277,0.3094
997.56,0.3302
997.843,0.3264
998.126,0.3049
998.409,0.299
998.692,0.2847
998.975,0.2845
999.258,0.2753
999.541,0.2981
999.823,0.2854
1000.106,0.3008
1000.388,0.2875
1000.671,0.3023
1000.954,0.2998
1001.236,0.3168
1001.518,0.3285
1001.801,0.3572
1002.083,0.3619
1002.365,0.3533
1002.647,0.3614
1002.929,0.3615
1003.211,0.3582
1003.493,0.3648
1003.775,0.3702
1004.057,0.361
1004.338,0.3619
1004.62,0.3368
1004.902,0.3059
1005.183,0.2895
1005.465,0.2861
1005.746,0.2702
1006.028,0.2811
1006.309,0.3075
1006.59,0.3135
1006.871,0.3105
1007.153,0.3119
1007.434,0.3124
1007.715,0.2782
1007.996,0.298
1008.277,0.3107
1008.557,0.3471
1008.838,0.3579
1009.119,0.3837
1009.4,0.3946
1009.68,0.3959
1009.961,0.3706
1010.241,0.365
1010.522,0.3779
1010.802,0.3587
1011.082,0.364
1011.362,0.3594
1011.643,0.3405
1011.923,0.3265
1012.203,0.3113
1012.483,0.3094
1012.763,0.3167
1013.042,0.3289
1013.322,0.3311
1013.602,0.3431
1013.882,0.3163
1014.161,0.2787
1014.441,0.2638
1014.72,0.2777
1015,0.2775
1015.279,0.3146
1015.558,0.3788
1015.838,0.4035
1016.117,0.4157
1016.396,0.3942
1016.675,0.4091
1016.954,0.415
1017.233,0.3946
1017.512,0.4001
1017.791,0.4319
1018.07,0.4591
1018.348,0.4243
1018.627,0.4359
1018.905,0.4404
1019.184,0.4392
1019.462,0.4091
1019.741,0.3965
1020.019,0.4009
1020.297,0.3536
1020.576,0.3417
1020.854,0.3159
1021.132,0.2795
1021.41,0.2376
1021.688,0.2562
