Wavelength (nm),Power (W/m2/nm)
475.229,0.0263
475.595,0.0256
475.961,0.0251
476.327,0.0247
476.693,0.0242
477.058,0.024
477.424,0.0235
477.79,0.0231
478.156,0.0226
478.521,0.0222
478.887,0.0215
479.252,0.0211
479.618,0.0205
479.983,0.0199
480.348,0.0193
480.714,0.0189
481.079,0.0182
481.444,0.0177
481.81,0.0174
482.175,0.017
482.54,0.0163
482.905,0.0158
483.27,0.0152
483.635,0.0146
484,0.0141
484.365,0.0136
484.73,0.0132
485.095,0.0128
485.459,0.0124
485.824,0.012
486.189,0.0117
486.553,0.0113
486.918,0.0109
487.283,0.0107
487.647,0.0106
488.012,0.0104
488.376,0.0102
488.74,0.0101
489.105,0.0098
489.469,0.0098
489.833,0.0097
490.198,0.0096
490.562,0.0097
490.926,0.0097
491.29,0.0097
491.654,0.0096
492.018,0.0096
492.382,0.0096
492.746,0.0097
493.11,0.0098
493.474,0.01
493.837,0.0102
494.201,0.0103
494.565,0.0104
494.928,0.0104
495.292,0.0105
495.656,0.0107
496.019,0.011
496.383,0.0113
496.746,0.0117
497.109,0.012
497.473,0.0123
497.836,0.0125
498.199,0.0129
498.563,0.0133
498.926,0.0138
499.289,0.0142
499.652,0.0147
500.015,0.0151
500.378,0.0155
500.741,0.0161
501.104,0.0166
501.467,0.0172
501.829,0.0178
502.192,0.0185
502.555,0.0192
502.918,0.0199
503.28,0.0206
503.643,0.0214
504.005,0.0223
504.368,0.0232
504.73,0.0241
505.093,0.0252
505.455,0.0263
505.817,0.0273
506.18,0.0284
506.542,0.0294
506.904,0.0306
507.266,0.0316
507.628,0.0329
507.991,0.0339
508.353,0.0354
508.715,0.0367
509.076,0.0381
509.438,0.0395
509.8,0.041
510.162,0.0423
510.524,0.0435
510.885,0.0448
511.247,0.0461
511.609,0.0475
511.97,0.0488
512.332,0.0502
512.693,0.0515
513.055,0.0525
513.416,0.0537
513.778,0.0549
514.139,0.0562
514.5,0.0573
514.861,0.0584
515.223,0.0593
515.584,0.06
515.945,0.0608
516.306,0.0614
516.667,0.0621
517.028,0.0628
517.389,0.0631
517.75,0.0633
518.11,0.0635
518.471,0.0639
518.832,0.064
519.193,0.0643
519.553,0.0642
519.914,0.0642
520.274,0.0637
520.635,0.0633
520.995,0.0628
521.356,0.0625
521.716,0.0618
522.076,0.0613
522.437,0.0606
522.797,0.0598
523.157,0.059
523.517,0.0582
523.877,0.0574
524.238,0.0566
524.598,0.0558
524.958,0.0547
525.317,0.0538
525.677,0.0529
526.037,0.0519
526.397,0.0509
526.757,0.0501
527.116,0.0491
527.476,0.048
527.836,0.047
528.195,0.0462
528.555,0.045
528.914,0.0441
529.274,0.0432
529.633,0.0423
529.993,0.0413
530.352,0.0406
530.711,0.0397
531.07,0.0388
531.429,0.0381
531.789,0.0374
532.148,0.0365
532.507,0.0358
532.866,0.0351
533.225,0.0343
533.584,0.0338
533.942,0.0332
534.301,0.0327
534.66,0.032
535.019,0.0316
535.377,0.0309
535.736,0.0305
536.095,0.0299
536.453,0.0295
536.812,0.029
537.17,0.0285
537.528,0.0279
537.887,0.0274
538.245,0.0269
538.603,0.0262
538.962,0.0257
539.32,0.0251
539.678,0.0247
540.036,0.0243
540.394,0.0237
540.752,0.0233
541.11,0.0229
541.468,0.0222
541.826,0.0216
542.184,0.0213
542.541,0.0207
542.899,0.0203
543.257,0.02
543.614,0.0196
543.972,0.019
544.33,0.0185
544.687,0.0179
545.045,0.0174
545.402,0.017
545.759,0.0167
546.117,0.0164
546.474,0.016
546.831,0.0156
547.188,0.0151
547.546,0.0147
547.903,0.0143
548.26,0.014
548.617,0.0136
548.974,0.0132
549.331,0.0128
549.687,0.0124
550.044,0.012
550.401,0.0117
550.758,0.0114
551.114,0.0111
551.471,0.0107
551.828,0.0103
552.184,0.01
552.541,0.0098
552.897,0.0096
553.254,0.0094
553.61,0.0092
553.966,0.0091
554.323,0.0088
554.679,0.0086
555.035,0.0084
555.391,0.0082
555.747,0.008
556.103,0.0078
556.459,0.0076
556.815,0.0073
557.171,0.0072
557.527,0.007
557.883,0.0068
558.239,0.0067
558.594,0.0066
558.95,0.0063
559.306,0.0062
559.661,0.006
560.017,0.0059
560.372,0.0057
560.728,0.0057
561.083,0.0056
561.438,0.0054
561.794,0.0053
562.149,0.0053
562.504,0.0051
562.859,0.0049
563.215,0.0048
563.57,0.0047
563.925,0.0045
564.28,0.0045
564.635,0.0044
564.99,0.0044
565.344,0.0043
565.699,0.0043
566.054,0.0042
566.409,0.0041
566.763,0.0041
567.118,0.0039
567.473,0.0039
567.827,0.0037
568.182,0.0037
568.536,0.0037
568.891,0.0036
569.245,0.0035
569.599,0.0036
569.953,0.0035
570.308,0.0033
570.662,0.0032
571.016,0.0032
571.37,0.0031
571.724,0.003
572.078,0.003
572.432,0.003
572.786,0.0029
573.14,0.0028
573.494,0.0028
573.847,0.0027
574.201,0.0027
574.555,0.0028
574.908,0.0027
575.262,0.0026
575.615,0.0027
